,tweet_id,retweet_count,favorite_count
0,892420643555336193,8321,38047
1,892177421306343426,6148,32668
2,891815181378084864,4068,24581
3,891689557279858688,8470,41406
4,891327558926688256,9163,39571
5,891087950875897856,3049,19872
6,890971913173991426,2019,11618
7,890729181411237888,18465,64201
8,890609185150312448,4188,27313
9,890240255349198849,7219,31332
10,890006608113172480,7177,30104
11,889880896479866881,4872,27303
12,889665388333682689,9836,47237
13,889638837579907072,4442,26655
14,889531135344209921,2201,14841
15,889278841981685760,5259,24786
16,888917238123831296,4404,28599
17,888804989199671297,4201,25105
18,888554962724278272,3476,19470
19,888078434458587136,3418,21362
20,887705289381826560,5277,29640
21,887517139158093824,11433,45444
22,887473957103951883,17792,67821
23,887343217045368832,10182,33096
24,887101392804085760,5841,30027
25,886983233522544640,7612,34533
26,886736880519319552,3214,11841
27,886680336477933568,4369,22020
28,886366144734445568,3134,20811
29,886267009285017600,4,116
30,886258384151887873,6157,27490
31,886054160059072513,105,0
32,885984800019947520,6642,32063
33,885528943205470208,6296,35330
34,885518971528720385,3681,20062
35,885311592912609280,18174,0
36,885167619883638784,4294,21534
37,884925521741709313,17882,76060
38,884876753390489601,5496,27425
39,884562892145688576,4598,23865
40,884441805382717440,5543,26513
41,884247878851493888,20083,71723
42,884162670584377345,2926,19992
43,883838122936631299,3379,21514
44,883482846933004288,9734,45100
45,883360690899218434,3632,22281
46,883117836046086144,6538,36509
47,882992080364220416,3846,23526
48,882762694511734784,4819,27801
49,882627270321602560,5967,27438
50,882268110199369728,11369,44152
51,882045870035918850,4871,28847
52,881906580714921986,3327,23893
53,881666595344535552,10463,49703
54,881633300179243008,7,124
55,881536004380872706,15637,48551
56,881268444196462592,5079,22684
57,880935762899988482,2733,16718
58,880872448815771648,3744,20898
59,880465832366813184,6156,28034
60,880221127280381952,4135,26585
61,880095782870896641,4272,27147
62,879862464715927552,3438,21930
63,879674319642796034,10,305
64,879492040517615616,3124,23025
65,879415818425184262,43451,104056
66,879376492567855104,3060,16484
67,879130579576475649,6705,0
68,879050749262655488,4633,22161
69,879008229531029506,2649,18657
70,878776093423087618,4053,19073
71,878604707211726852,7075,29742
72,878404777348136964,1268,0
73,878316110768087041,6535,0
74,878281511006478336,1268,7615
75,878057613040115712,6705,41344
76,877736472329191424,18756,78460
77,877611172832227328,79,0
78,877556246731214848,3745,22355
79,877316821321428993,5093,26932
80,877201837425926144,5490,26676
81,876838120628539392,3285,20349
82,876537666061221889,4565,23133
83,876484053909872640,2360,18454
84,876120275196170240,4616,27478
85,875747767867523072,4224,24803
86,875144289856114688,4854,21585
87,875097192612077568,5967,27002
88,875021211251597312,4652,25080
89,874680097055178752,4577,27385
90,874434818259525634,14524,0
91,874296783580663808,4049,25668
92,874057562936811520,3907,22316
93,874012996292530176,10269,34063
94,873580283840344065,3896,23860
95,873337748698140672,1565,0
96,873213775632977920,1565,7136
97,872967104147763200,5352,26984
98,872820683541237760,3656,14515
99,872620804844003328,3653,20524
100,872486979161796608,8938,40160
101,872261713294495745,6255,33768
102,872122724285648897,8052,34003
103,871879754684805121,11064,37513
104,871762521631449091,3450,20024
105,871515927908634625,3431,19983
106,871166179821445120,5668,0
107,871102520638267392,5468,20701
108,871032628920680449,3793,22422
109,870804317367881728,6169,33272
110,870726314365509632,3,119
111,870656317836468226,2631,12287
112,870374049280663552,26105,81953
113,870308999962521604,4141,21643
114,870063196459192321,8326,36337
115,869772420881756160,10002,42064
116,869702957897576449,6336,28001
117,869596645499047938,3128,15856
118,869227993411051520,3779,20298
119,868880397819494401,14478,65208
120,868639477480148993,2099,0
121,868622495443632128,5296,26596
122,868552278524837888,2099,10074
123,867900495410671616,4182,24075
124,867774946302451713,7348,33828
125,867421006826221569,2510,16047
126,867072653475098625,121,0
127,867051520902168576,7893,32122
128,866720684873056260,4834,20021
129,866686824827068416,3500,19277
130,866450705531457537,35464,121984
131,866334964761202691,14524,52460
132,866094527597207552,8423,0
133,865718153858494464,5652,25600
134,865359393868664832,5032,26459
135,865006731092295680,7738,27990
136,864873206498414592,8767,32279
137,864279568663928832,3059,14635
138,864197398364647424,9017,30200
139,863907417377173506,4182,20644
140,863553081350529029,4223,15337
141,863471782782697472,2480,0
142,863432100342583297,5320,23872
